id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48012401,Joli appartement dans les anciens chais bordelais,6086146,Marine,Bordeaux,Bordeaux Maritime,44.86701,-0.54786,Entire home/apt,60,365,6,2021-08-24,0.31,1,0,0,33063005876E9
48013468,Studio Les Baigneuses (avec entrée indépendante),260162863,Cécile,Bordeaux,Caudran,44.84037,-0.62569,Private room,48,1,66,2022-09-09,5.35,1,145,63,330630066382D
48261362,Maison avec piscine entre Bordeaux et le bassin,36145138,Pauline,Martignas-sur-Jalle,Martignas-sur-Jalle,44.84702,-0.77605,Entire home/apt,160,7,3,2021-08-14,0.22,1,220,0,
48262974,Les BOUDDHAS (anciennement Maison Zen Attitude),389465788,Frederique,Ambars-et-Lagrave,Ambars-et-Lagrave,44.93504,-0.49092,Private room,150,8,2,2021-07-24,0.12,1,0,0,
48460990,Magnifique Studio Centre ville de Bordeaux,145486785,Rose,Bordeaux,Centre ville (Bordeaux),44.84219,-0.57774,Entire home/apt,72,365,5,2021-08-11,0.31,1,178,0,
48019889,"Appartement T3 70m2 très lumineux au calme, Bègles",73706901,Carolina,Bgles,Bgles,44.80271,-0.57118,Entire home/apt,55,6,11,2022-08-13,0.57,1,99,1,
48267225,Charmante maison avec extérieur à Saint Augustin,16646525,Clementine,Merignac,La Glacire,44.83406,-0.61475,Entire home/apt,70,4,1,2021-08-13,0.08,1,0,0,
48061136,Échoppe bordelaise,79407973,Stéphane,Bordeaux,Centre ville (Bordeaux),44.83777,-0.59287,Entire home/apt,140,2,10,2022-06-06,0.55,1,28,4,330630054430F
48274621,Private room for RENT for month of March,387905583,Megan,Bordeaux,La Bastide,44.84371,-0.55299,Private room,750,1,0,,,1,0,0,
48274842,Appartement terrasse entier St Seurin fondaudege,24005960,Thumy,Bordeaux,Centre ville (Bordeaux),44.84823,-0.5911,Entire home/apt,100,365,2,2021-07-20,0.13,1,363,0,330630051533C
48465987,Chambre chaleureuse dans une ancienne grange,60745123,Clément,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.89657,-0.74388,Private room,32,2,9,2022-04-15,0.50,2,50,6,
48477318,GuestReady Studio in the heart of the historic,389561200,Clement,Bordeaux,Bordeaux Sud,44.83411,-0.56985,Entire home/apt,83,2,76,2022-09-09,4.18,4,340,50,3306300510209
